topic_id,topic_name,subfield_display_name,field_display_name,domain_display_name,works_count,cited_by_count,keywords
https://openalex.org/T11595,Textile materials and evaluations,Polymers and Plastics,Materials Science,Physical Sciences,113995,557423,Moisture Management; Thermal Properties; Fabric Comfort; Textile Engineering; Wicking Mechanisms; Fiber Properties; Artificial Intelligence; Knitted Fabrics; Heat Transfer; Fabric Testing
https://openalex.org/T10661,biodegradable polymer synthesis and properties,Biomaterials,Materials Science,Physical Sciences,113238,2189690,Biodegradable Polymers; Polylactic Acid; Polyhydroxyalkanoates; Sustainable Polymers; Tissue Engineering Materials; Ring-Opening Polymerization; Biomedical Applications; Nanocomposites; Green Plastics; Polyester Synthases
https://openalex.org/T10132,Advanced ceramic materials synthesis,Ceramics and Composites,Materials Science,Physical Sciences,111211,1497936,Ceramic Materials; Sintering; Spark Plasma Sintering; High-Temperature Applications; Composite Materials; Nanocrystalline Ceramics; Oxidation Resistance; Porous Ceramics; Ultra-High Temperature Ceramics (UHTCs); Material Properties
https://openalex.org/T10059,Bone Tissue Engineering Materials,Biomedical Engineering,Engineering,Physical Sciences,109952,2883778,Scaffolds; Biomaterials; Tissue Engineering; Bone Regeneration; Hydroxyapatite; Bioceramics; Osteoblast Adhesion; Bioactive Glass; Polymeric Scaffolds; Angiogenesis
https://openalex.org/T10099,GaN-based semiconductor devices and materials,Condensed Matter Physics,Physics and Astronomy,Physical Sciences,109184,1634266,III-Nitrides; Semiconductors; Light-Emitting Diodes; GaN; AlGaN/GaN HEMTs; Defects and Impurities; Solid-State Lighting; Nanowires; UV LEDs; Band Parameters
https://openalex.org/T12959,Engineering and Materials Science Studies,Mechanical Engineering,Engineering,Physical Sciences,109100,182272,Lightweight Materials; Automotive Engineering; Composite Structures; Ultrasonic Testing; Thermoplastic Composites; Additive Manufacturing; Structural Analysis; Hot-Dip Galvanization; Machine Elements; Renewable Resources
https://openalex.org/T11878,Solid-state spectroscopy and crystallography,Materials Chemistry,Materials Science,Physical Sciences,106347,950043,Solid Acids; Protonic Conduction; Ferroelectricity; Fuel Cells; Electrical Properties; Crystal Structure; Dielectric Properties; Phase Transitions; Nuclear Quadrupole Resonance; High Temperature Behavior
https://openalex.org/T13619,Geotechnical and Geomechanical Engineering,Mechanics of Materials,Engineering,Physical Sciences,101382,431048,Wave Propagation; Rock Mechanics; Seismicity; Geomechanical Processes; Pendulum Waves; Mining Induced Seismicity; Hydraulic Drilling; Geomechanical Assessment; Elastic Wave Modeling; Block Media
https://openalex.org/T10083,Graphene research and applications,Materials Chemistry,Materials Science,Physical Sciences,101023,3947472,Graphene; Two-dimensional Materials; Carbon Nanotubes; Nanocomposites; Raman Spectroscopy; Chemical Vapor Deposition; Electronic Properties; Graphene Oxide; Nanoribbons; Transparent Conductors
https://openalex.org/T10461,Gas Sensing Nanomaterials and Sensors,Electrical and Electronic Engineering,Engineering,Physical Sciences,100159,1731764,Gas Sensors; Metal Oxide; Nanomaterials; Semiconductors; Gas Sensing Mechanisms; Room Temperature; Nanostructures; Humidity Sensors; Chemical Sensors; Selective Detection
https://openalex.org/T10310,Corrosion Behavior and Inhibition,Materials Chemistry,Materials Science,Physical Sciences,99172,1562113,Corrosion Inhibitors; Metal Corrosion; Electrochemical Impedance Spectroscopy; Organic Coatings; Molecular Dynamics Simulation; Green Inhibitors; Adsorption Properties; Quantum Chemical Studies; Self-Healing Coatings; Sulfate-Reducing Bacteria
https://openalex.org/T10396,Fatigue and fracture mechanics,Mechanics of Materials,Engineering,Physical Sciences,98412,1162849,Fatigue Crack Closure; Fracture Toughness Testing; Multiaxial Fatigue Criterion; Thermographic Methodology; Microstructure-Sensitive Modeling; Probabilistic Fatigue Life Prediction; High-Cycle Fatigue Behavior; Stress Intensity Factors; Crack Propagation Mechanism; Local Approach to Fracture
https://openalex.org/T13465,"Graphite, nuclear technology, radiation studies",Materials Chemistry,Materials Science,Physical Sciences,97029,395114,Nuclear Graphite; Oxidation Behavior; Microstructural Characterization; Irradiation Damage; Thermal Properties; Raman Spectroscopy; Pore Structure Analysis; High Temperature Reactors; Fracture Behavior; Decontamination
https://openalex.org/T10033,Concrete and Cement Materials Research,Civil and Structural Engineering,Engineering,Physical Sciences,94880,2037089,Geopolymer; Cementitious Materials; Fly Ash; Alkali-Activated Materials; Sustainable Concrete; Carbon Emissions; Nanotechnology; Hydration Mechanisms; Environmental Impact; CO2 Sequestration
https://openalex.org/T10097,Luminescence Properties of Advanced Materials,Materials Chemistry,Materials Science,Physical Sciences,94311,1839693,Upconversion Nanoparticles; Luminescent Materials; Nanocrystal Synthesis; Biological Imaging; Theranostics; Solar Cell Efficiency; Temperature Sensing; Rare Earth Ions; Photon Upconversion; Solid-State Lighting
https://openalex.org/T10113,Dental materials and restorations,Orthodontics,Dentistry,Health Sciences,93103,1762499,Dental Materials; Restorative Dentistry; Adhesive Bonding; Composite Resins; Ceramic Restorations; Dentin Structure; CAD/CAM Technology; Polymerization Shrinkage; Clinical Trials; Tooth Restoration
https://openalex.org/T10090,ZnO doping and properties,Materials Chemistry,Materials Science,Physical Sciences,91095,2190353,Zinc Oxide; Nanostructures; Semiconductors; Ferromagnetism; Nanowires; Photodetectors; Doping; Optoelectronics; Transparent Conductors; Spintronics
https://openalex.org/T11242,Nuclear Materials and Properties,Materials Chemistry,Materials Science,Physical Sciences,90426,723268,Accident Tolerant Fuels; Fuel Cladding; Thermophysical Properties; Oxidation Resistance; Actinide Oxides; High Temperature Behavior; Density Functional Theory; Irradiation Performance; Hydrogen Embrittlement; Fission Product Release
https://openalex.org/T10074,Carbon Nanotubes in Composites,Materials Chemistry,Materials Science,Physical Sciences,89220,2677166,Nanotubes; Carbon; Composites; Properties; Functionalization; Electronics; Mechanical; Synthesis; Applications; Chemistry
https://openalex.org/T10338,Advanced Sensor and Energy Harvesting Materials,Biomedical Engineering,Engineering,Physical Sciences,88936,2522141,Wearable; Nanogenerators; Flexible Electronics; Stretchable Sensors; Triboelectric Technology; Energy Harvesting; Self-Powered Systems; Electronic Skin; Health Monitoring; Conductive Materials
https://openalex.org/T12084,Synthesis and properties of polymers,Polymers and Plastics,Materials Science,Physical Sciences,88316,717136,Polyimides; Elemental Sulfur; High Refractive Index; Low Dielectric Constant; Inverse Vulcanization; Fluorinated Polymers; Space Applications; Thermal Stability; Optically Transparent Films; Lithium-Sulfur Batteries
https://openalex.org/T10903,Porphyrin and Phthalocyanine Chemistry,Materials Chemistry,Materials Science,Physical Sciences,86697,1516765,Porphyrins; Phthalocyanines; Nonlinear Optical Properties; Self-Assembly; Molecular Devices; Metal Complexes; Artificial Antenna Systems; Chirality-Sensing Supramolecular Systems; Photochemical Properties; Light-Harvesting
https://openalex.org/T13772,Geomechanics and Mining Engineering,Mechanics of Materials,Engineering,Physical Sciences,86379,105195,Rock Mechanics; Mining Engineering; Support Technology; Surrounding Rock Stability; Deep Mining; Coal Seam; Bolting Technology; Ground Pressure; Mechanical Behavior; Deformation Mechanism
https://openalex.org/T10478,Diamond and Carbon-based Materials Research,Materials Chemistry,Materials Science,Physical Sciences,86178,1518155,Nanodiamonds; Quantum Sensing; Raman Spectroscopy; Quantum Computing; Biomedical Applications; Spin Qubits; Fluorescent Nanodiamonds; Magnetic Sensing; Room-Temperature Quantum Memory; Diamond Thin Films
https://openalex.org/T11808,Superconducting Materials and Applications,Biomedical Engineering,Engineering,Physical Sciences,85033,386332,Superconducting Magnets; Nb3Sn Conductor; ITER Project; High Field Applications; Cable-in-Conduit Conductors; LHC Upgrade; Magnetic Field Simulation; Fusion Reactor; Critical Current Density; Cryogenic Material Properties
https://openalex.org/T10107,Ferroelectric and Piezoelectric Materials,Materials Chemistry,Materials Science,Physical Sciences,84959,1733050,Lead-free Piezoceramics; Ferroelectric Materials; Piezoelectric Properties; Perovskite Structure; Relaxor Ferroelectrics; Thin Film Ferroelectrics; Electrocaloric Effect; Domain Wall Nanoelectronics; High Energy Storage Materials; Phase Boundary Piezoelectrics
https://openalex.org/T10306,Liquid Crystal Research Advancements,"Electronic, Optical and Magnetic Materials",Materials Science,Physical Sciences,84852,1472560,Liquid Crystals; Self-Organization; Photoinduced Motions; Functional Materials; Optoelectronic Applications; Nanoparticles; Colloidal Crystals; Polymer-Stabilized Blue Phases; Chiral Nematic Phases; Nanostructured Materials
https://openalex.org/T10179,Supercapacitor Materials and Fabrication,"Electronic, Optical and Magnetic Materials",Materials Science,Physical Sciences,84325,3257231,Graphene; Carbon-Based Materials; Electrochemical Capacitors; Pseudocapacitive Materials; Energy Storage; Nanomaterials; Flexible Supercapacitors; Metal-Organic Frameworks; High-Performance Electrodes; Hybrid Energy Storage
https://openalex.org/T10247,Perovskite Materials and Applications,Electrical and Electronic Engineering,Engineering,Physical Sciences,84198,3037640,Perovskite Solar Cells; Organometal Halide Perovskites; Photovoltaic Cells; Efficiency; Stability; Semiconductors; Light-Emitting Diodes; Crystal Growth; Charge Carrier Transport; Optoelectronic Materials
https://openalex.org/T10612,Magnetism in coordination complexes,"Electronic, Optical and Magnetic Materials",Materials Science,Physical Sciences,82605,1624908,Single-Molecule Magnets; Lanthanide Complexes; Magnetic Anisotropy; Quantum Tunneling of Magnetization; Spin Crossover; High-Spin Transition Metal Complexes; Magnetic Relaxation; Quantum Computing; Electron Transport; Nuclear Spin Resonance
https://openalex.org/T10413,High-pressure geophysics and materials,Geophysics,Earth and Planetary Sciences,Physical Sciences,81163,2606969,Mantle Dynamics; Crystal Structure Prediction; High-pressure Phases; Seismic Imaging; Superconductivity; Earth's Lower Mantle; Hydrous Minerals; Tomography; Plate Tectonics; Mineral Physics
https://openalex.org/T10662,Ultrasonics and Acoustic Wave Propagation,Mechanics of Materials,Engineering,Physical Sciences,78112,863853,Guided Lamb Waves; Piezoelectric Impedance-Based Health Monitoring; Ultrasonic Arrays; Nonlinear Ultrasonic Techniques; Composite Structures; Damage Detection; Piezoelectric Sensors; Wave Propagation; Structural Impedance Sensors; Non-Destructive Testing
https://openalex.org/T10544,Glass properties and applications,Ceramics and Composites,Materials Science,Physical Sciences,73886,1480566,Glass Science; Structural Analysis; Optical Properties; Rare-Earth Doped Materials; Nuclear Waste Immobilization; Spectroscopic Studies; Amorphous Materials; Crystal Nucleation; High-Resolution NMR; Fiber Lasers
https://openalex.org/T10219,Mechanical Behavior of Composites,Mechanics of Materials,Engineering,Physical Sciences,73708,1229949,Delamination; Cohesive Zone Models; Fiber-Reinforced Composites; Finite Element Analysis; Adhesive Joints; Ballistic Impact; Damage Modeling; Fracture Mechanics; Textile Composites; Mechanical Behavior
https://openalex.org/T12427,Metal Alloys Wear and Properties,Materials Chemistry,Materials Science,Physical Sciences,71743,295808,Cryogenic Treatment; Microstructure; Wear Resistance; Tool Steels; High Chromium Cast Iron; Mechanical Properties; Carbides; Hardfacing Alloys; Abrasive Wear; High Speed Steel
https://openalex.org/T10729,Electrospun Nanofibers in Biomedical Applications,Biomaterials,Materials Science,Physical Sciences,71206,1676388,Electrospinning; Nanofibers; Tissue Engineering; Biomedical Applications; Polymer Nanofibers; Drug Delivery; Nanocomposites; Fiber Fabrication; Scaffold; Regenerative Medicine
https://openalex.org/T10079,Nanoparticles: synthesis and applications,Materials Chemistry,Materials Science,Physical Sciences,70537,2675096,Nanoparticles; Antimicrobial; Toxicity; Silver; Nanomaterials; Biological Synthesis; Environmental Impact; Cytotoxicity; Green Synthesis; Biosynthesis
https://openalex.org/T10511,High voltage insulation and dielectric phenomena,Materials Chemistry,Materials Science,Physical Sciences,70336,567082,Nanocomposites; Dielectrics; Polymer; Partial Discharge; Electrical Insulation; Space Charge; High Voltage; Polyethylene; Interfaces; Power Transformers
